,senator,party,position,ethnicity,gender,centroid,happiness_cs,anger_cs,disgust_cs,surprise_cs,sadness_cs,fear_cs,general_cs
10,Benavides Mora Carlos Alberto,Centro Democrático,opposition,0,1,"[ 0.34554303  0.3403901   0.03063617 -0.39647657  0.4077945  -0.19562265
  0.19941945  0.32912487 -0.08993603 -0.45594555  0.4401861  -0.21478118
  0.07917159 -0.3563317   0.29419273  0.01127377 -0.07990177  0.18637034
  0.26608396 -0.47086728 -0.1086596  -0.14584295  0.2751932   0.27096948
 -0.00401795 -0.67567575 -0.10784905 -0.6462003   0.07004345 -0.15470555
 -0.26474878 -0.09528324  0.34244093 -0.05708423 -0.24367628  0.45259866
  0.37186402 -0.1810093   0.07081454 -0.27785692 -0.07408016  0.25575665
 -0.17249209 -0.08496684  0.11913152 -0.16221486 -0.5819724   0.26016963
  0.06672594 -0.04887816 -0.51401997  0.23669557 -0.39641565 -0.31775895
  0.11057738 -0.12069079 -0.23773086  0.0807649   0.3219983   0.44860992
 -0.34047526 -0.0855291  -0.09339435 -0.58658063 -0.7638676   0.25538486
 -0.45233682 -0.26254803  0.36833584 -0.39639255  0.11610927 -0.2618575
  0.09003337  0.73914075 -0.14046761 -0.03450625 -0.23491958 -0.68828905
 -0.69018614 -0.35876983  0.10464589  0.03421032 -0.2872463   0.596025
 -0.13844857  0.7930633   0.42720827  0.01609758  0.89093065  0.05784641
  0.2888277  -0.15186498  0.06658965 -0.05739226  0.01080234  0.25208983
 -0.08888931 -0.52098995  0.00116351 -0.65019476]",0.597593,0.48389328,0.52348447,0.48635206,0.5329251,0.55457747,0.5690644
11,Benavides Solarte Diela Liliana ,Partido Conservador,independent,0,0,"[ 0.23845147  0.13903083  0.20760584 -0.267718    0.08772092 -0.33233526
  0.18106331  0.27492705  0.02792653 -0.40850717  0.59227777 -0.08820264
  0.00739607 -0.23486333  0.32533443  0.28216785  0.1740405  -0.1786361
  0.3043126  -0.2645074   0.06559479  0.06257193  0.00210662  0.5753025
 -0.11999898 -0.35891524  0.06383435 -0.37184763  0.10628531  0.00372973
 -0.11517624 -0.40105546  0.13349019 -0.1544122  -0.20239925  0.42610723
  0.31806472 -0.2909801   0.22394635 -0.16272083  0.01347629  0.22559182
 -0.2672602  -0.16141418  0.03284087 -0.0423906  -0.46456704  0.2347085
 -0.0865806   0.09216277 -0.4072476   0.22413117 -0.635632   -0.0631813
  0.339493    0.08832503 -0.17401566  0.02254838  0.57744783  0.31499085
 -0.45567712 -0.03061166 -0.23523156 -0.4172229  -0.7678937   0.31781656
 -0.26693863 -0.2709351   0.37381765 -0.13621798  0.13239995 -0.07201807
  0.02776362  0.5573396   0.04182892 -0.1363798  -0.24729954 -0.28436032
 -0.51216704 -0.19572188  0.27337223  0.12058403 -0.16993625  0.45602754
 -0.01140587  0.6355575   0.08948505  0.07633529  1.0558422  -0.06473108
  0.18533094 -0.28216    -0.05606774 -0.00401745 -0.3133466   0.06953824
  0.2096453  -0.5994363   0.03211707 -0.565459  ]",0.63026035,0.5332614,0.56414866,0.5296589,0.5687055,0.5875608,0.5908188
12,Benedetti Martelo Jorge Enrique,Cambio Radical,opposition,0,1,"[ 0.22034754  0.3361387   0.13124315 -0.4654483   0.33707818 -0.15300049
  0.04868817  0.18832518  0.04227818 -0.1754681   0.29484618  0.08728648
  0.07345144 -0.06424788  0.31010455 -0.0824935   0.03368499 -0.01124444
  0.28400862 -0.27973932 -0.12415938  0.29682192  0.23274899  0.42086726
  0.07735536 -0.3741946   0.14993471 -0.56282866  0.04575416 -0.00364933
 -0.25306243 -0.13611504 -0.19349873  0.17604178 -0.10649821  0.42201096
  0.24692434 -0.1089164   0.3016826  -0.40932956  0.12026291  0.00974764
  0.0397376   0.12272761  0.17993003  0.01413298 -0.36591235  0.11825412
  0.10160251 -0.03854254 -0.4651624   0.09607564 -0.5529754  -0.39577955
  0.14901236  0.09940694 -0.00941044  0.3109017   0.34086457  0.4721877
 -0.0109248   0.06562284 -0.03761635 -0.54173684 -0.528087   -0.09441076
 -0.47446108 -0.3897712   0.38521457 -0.15227532  0.17465073 -0.23508835
 -0.2496571   0.79251385 -0.01973685 -0.04901715 -0.04307339 -0.47559792
 -0.79662716 -0.08649988  0.31684586 -0.04656275 -0.16506296  0.34657764
  0.01312846  0.5941801   0.0607772   0.1478123   0.8711824  -0.11313013
  0.02127632 -0.12752299  0.07335748 -0.10885032 -0.22986946 -0.05352864
  0.63172615 -0.7852292   0.15044552 -0.63470554]",0.6331456,0.5653458,0.5723319,0.5391774,0.5859829,0.5949049,0.5960779
13,Besaile Fayad John Moisés,Partido de la U,independent,0,1,"[ 0.2938805   0.20940432 -0.04039882 -0.23682973  0.35316738 -0.32318226
  0.22958258  0.41366616 -0.19270456 -0.26176488  0.10460841 -0.07500369
  0.0308122  -0.11665042  0.31324112 -0.07092767  0.04444022 -0.08683617
  0.14429183 -0.36680937 -0.14814374  0.1794553   0.19143742  0.13972402
 -0.01037851 -0.4857657  -0.13819459 -0.38378823  0.14225021 -0.02779129
 -0.17000934 -0.2725638  -0.00913059  0.07398602 -0.34436524  0.4459321
  0.11223496 -0.02065796  0.10744288 -0.2804957   0.00395564  0.16617659
  0.00777732  0.00505734  0.05618509  0.10872658 -0.38955066  0.00391343
  0.12249448  0.19850221 -0.39937934  0.12851316 -0.5777929  -0.35222596
  0.07434603 -0.13188998  0.04923249  0.25347587  0.16481553  0.5615083
 -0.06590556  0.03932339 -0.02773226 -0.2664026  -0.3971606   0.04388927
 -0.31983927 -0.24049306  0.2882351  -0.11529694  0.21468824 -0.10931965
 -0.07774074  0.4401198  -0.07130145 -0.13802227 -0.239412   -0.22700019
 -0.5358671  -0.1776346   0.23547922 -0.03504183 -0.35440865  0.43428507
 -0.12877874  0.52999973  0.03301005  0.17354667  0.7325447  -0.01664995
  0.14184758 -0.07220631  0.1653715  -0.06162213  0.03849766 -0.15085582
  0.245136   -0.6839881   0.15535359 -0.5930287 ]",0.685892,0.56550324,0.6038842,0.5732313,0.6129606,0.63315064,0.64625955
14,Bitar Castilla Liliana Esther ,Partido Conservador,independent,0,0,"[ 0.34167555  0.22638258  0.02063519 -0.34314516  0.40762934 -0.21473308
  0.2427838   0.4288103  -0.18930238 -0.3044532   0.20508888 -0.06852847
  0.00897143 -0.07609714  0.3358731  -0.02177293  0.03605122 -0.15724982
  0.21564238 -0.38045964 -0.10728733  0.2205333   0.22466885  0.421198
  0.07909358 -0.5269486   0.04530795 -0.4900975   0.06870178 -0.01282993
 -0.21000603 -0.25485402 -0.0380966  -0.07797503 -0.3104469   0.49421918
  0.08828112 -0.10028932  0.1777969  -0.346324    0.03312138  0.12100305
  0.02755384 -0.00734215  0.16523592  0.07777565 -0.36145216  0.07255191
  0.06044703  0.2186396  -0.5710149   0.1235873  -0.65550053 -0.28882882
  0.16140759 -0.07839377 -0.03473039  0.28406802  0.2528537   0.5718945
 -0.12405363  0.02329494 -0.01117354 -0.36918652 -0.546467    0.0121367
 -0.27610892 -0.28935832  0.4175599  -0.19149747  0.2022941  -0.0157286
 -0.09565381  0.50188845 -0.0787725  -0.13213278 -0.24859212 -0.21582352
 -0.66584873 -0.15516818  0.39762262 -0.01744976 -0.23036121  0.47013113
 -0.10650423  0.5958739   0.10326575  0.2534019   0.80642885 -0.00678121
 -0.00504586 -0.16802898  0.16333506 -0.07572447 -0.1247542  -0.06940916
  0.22974297 -0.7148753   0.15431423 -0.6105293 ]",0.6791609,0.5625549,0.59962785,0.56613195,0.60671175,0.6254854,0.6363567
15,Blanco Álvarez Germán Alcídes ,Partido Conservador,independent,0,1,"[ 0.19257386  0.25409368  0.1452065  -0.3093496   0.23623483 -0.14029802
 -0.02273574  0.12196215  0.1979341  -0.08200455  0.24914914  0.07869004
  0.04880205 -0.0895647   0.23111291 -0.12220281  0.00179177  0.18255651
  0.18134908 -0.2178089  -0.12772848  0.1390873   0.16458488  0.10583705
  0.05957116 -0.4044942   0.07062089 -0.4468445   0.01022417 -0.08524436
 -0.1490581   0.00229644 -0.04038766  0.27643445 -0.12306593  0.34466088
  0.30805376 -0.08397568  0.19444054 -0.4139181   0.02181281 -0.02443686
  0.08830269  0.04281221  0.12410095 -0.06956037 -0.4121729   0.09413531
  0.1589634  -0.09346631 -0.40894523  0.08514818 -0.30025896 -0.32066
  0.05177863  0.06917647 -0.00122191  0.28190842  0.22478159  0.42401376
  0.00720219  0.1296635  -0.03943711 -0.4956181  -0.32964948 -0.09461392
 -0.49634466 -0.39402804  0.22623396 -0.19283803  0.1034522  -0.36419037
 -0.18541779  0.7031439  -0.02999002 -0.0858753   0.01707463 -0.51743126
 -0.6629724  -0.22197318  0.25428978  0.0215287  -0.13493395  0.29795754
 -0.05403771  0.5025217   0.13839804 -0.00107162  0.6112645  -0.05017033
  0.11566965  0.02210611  0.05839158 -0.10090091 -0.09867474 -0.011224
  0.43801722 -0.5370701  -0.01457877 -0.43279198]",0.60815907,0.5559919,0.5619804,0.5298939,0.57572407,0.58567035,0.58742917
16,Blel Scaf Nadya Georgette,Partido Conservador,independent,0,0,"[ 0.29112706  0.1310965   0.0426517  -0.25003266  0.25701162 -0.18511693
  0.2799578   0.59613997 -0.2841199  -0.19593513  0.19779657 -0.08679465
  0.08574563 -0.02969107  0.397218    0.05393161  0.17638057 -0.32095933
  0.11274016 -0.39071155 -0.07293374  0.35730782  0.12776898  0.39559615
  0.05882749 -0.39906487  0.03429269 -0.3585004   0.08677993  0.00836611
 -0.18090518 -0.43087578 -0.0498362  -0.04383171 -0.35862544  0.45398405
  0.07548243 -0.04901886  0.16337454 -0.3380579   0.07276391  0.03147082
  0.00161586  0.07309812  0.16853504  0.13196218 -0.21095999 -0.04589438
  0.0491983   0.26279876 -0.3905691   0.13134418 -0.7001466  -0.12868348
  0.2501798  -0.01105387  0.12283026  0.2591783   0.19774234  0.53972024
 -0.16417344 -0.08004885 -0.00922483 -0.29985675 -0.40206814 -0.00238626
 -0.30578193 -0.19783707  0.35402146 -0.03511449  0.20095484  0.0566776
 -0.15438835  0.34922472 -0.00352779 -0.25293693 -0.3170167  -0.01221599
 -0.58071524 -0.03125496  0.47472975 -0.06659991 -0.29286274  0.42141798
 -0.10198847  0.4689366  -0.05633031  0.34392807  0.71712595  0.1337853
 -0.07153203 -0.19431329  0.04198062 -0.08389198 -0.03882825 -0.19895749
  0.24070323 -0.6701339   0.17424577 -0.5418026 ]",0.6927329,0.56441945,0.61080146,0.5794023,0.61247313,0.63399243,0.64542496
17,Cabal Molina María Fernanda,Centro Democrático,opposition,0,0,"[ 0.31713125  0.20321079  0.19695082 -0.33337906  0.3417142  -0.18917042
  0.08660118  0.28873047  0.10015167 -0.1651264   0.35839194 -0.14216882
  0.03083049 -0.00980329  0.32535154 -0.11765538  0.10396453 -0.08633209
  0.19731225 -0.32662424 -0.21932751  0.09032135  0.13880725  0.06581424
  0.10402499 -0.48990127  0.14444329 -0.54356354 -0.05850946 -0.10245167
 -0.08863043 -0.29112923 -0.15639746  0.10430907 -0.3874585   0.47125882
  0.2463933  -0.10400556  0.30508274 -0.43085364 -0.03718846 -0.10947278
  0.0382136  -0.0088281   0.17013143 -0.00495389 -0.49591208  0.17176601
  0.17705068  0.06041696 -0.46662375  0.11044852 -0.5164443  -0.23116875
  0.01480354  0.08873389 -0.12109794  0.4048413   0.1511775   0.5417953
 -0.05201703  0.06872462 -0.04232216 -0.34638593 -0.42342597 -0.07307341
 -0.42701817 -0.34874827  0.36509222 -0.15670328  0.13794917 -0.12115289
 -0.16757326  0.5790691  -0.06126911 -0.31999052 -0.19230121 -0.41669247
 -0.72034985 -0.23750536  0.41035366 -0.01289501 -0.16273725  0.5161598
 -0.05894806  0.6623459   0.1480147   0.02316193  0.9013142  -0.03052892
  0.04761309 -0.13033885  0.15640351 -0.20971511 -0.17165107  0.00143524
  0.3851343  -0.725379    0.05266973 -0.52635205]",0.6363934,0.5428288,0.5704706,0.5336257,0.5797818,0.5973178,0.6044602
18,Cabrales Baquero Enrique,Centro Democrático,opposition,0,1,"[ 0.1990968   0.18970568  0.12627389 -0.3432288   0.20800073 -0.15055585
  0.02987055  0.13622826  0.07393969 -0.01504087  0.3050367   0.135171
  0.12748933  0.08131061  0.2521606   0.0373466   0.13403216 -0.03834033
  0.28157952 -0.30130398 -0.17577422  0.38245097  0.16320573  0.44747317
  0.10364897 -0.31360754  0.17550632 -0.4514776  -0.05685513  0.17595565
 -0.19158773 -0.2134937  -0.09493026  0.41729194 -0.12138457  0.32778427
  0.25352642 -0.10242927  0.35419056 -0.43674994  0.23808864  0.01986031
  0.17449921  0.19487515  0.220365    0.21660736 -0.28420612  0.12056353
  0.2194271   0.09001524 -0.42021066  0.14165884 -0.5335449  -0.30111247
  0.2902344   0.20982853  0.0518389   0.1738975   0.22209196  0.4981467
 -0.03038158  0.16645887  0.03367714 -0.55873865 -0.5286462  -0.28790113
 -0.54880923 -0.3092316   0.4868031  -0.08253339  0.23548985 -0.3670693
 -0.4448661   0.7211448   0.06086267 -0.23111846 -0.07083189 -0.31920224
 -0.6581525  -0.15334585  0.45250884  0.1152596  -0.1370781   0.36517113
  0.05741523  0.6234536  -0.05460788  0.18109164  0.75380516 -0.1567722
 -0.10341821 -0.21859114  0.13063486 -0.053771   -0.2649779  -0.03702747
  0.5163599  -0.7575474   0.1974979  -0.54825765]",0.611467,0.55820876,0.55946016,0.5307173,0.57222843,0.58106744,0.5771821
19,Carreño Castro José Vicente ,Centro Democrático,opposition,0,1,"[ 2.21432090e-01  1.43450156e-01 -2.31300760e-02 -2.09128320e-01
  2.05393896e-01 -2.27140352e-01  2.37371862e-01  3.08517933e-01
 -1.76274166e-01 -1.74690247e-01  3.79233509e-01  7.85038993e-02
  9.46517885e-02  1.06922984e-01  1.89863637e-01  8.12184662e-02
  1.75788663e-02 -2.06694186e-01  4.75070655e-01 -3.40291053e-01
 -2.09582187e-02  2.10446239e-01  2.98570544e-01  4.84423190e-01
  1.82512045e-01 -3.04525673e-01  6.94461986e-02 -2.98379272e-01
 -8.15623775e-02  2.97324687e-01 -2.24438295e-01 -4.20190930e-01
 -1.84850916e-01  3.50043923e-03 -1.73684552e-01  3.64893943e-01
  1.36797979e-01 -1.02320910e-01  3.08954716e-01 -2.95656055e-01
 -9.08812135e-02  1.14200018e-01 -1.44671351e-01 -7.80012310e-02
  1.26431555e-01  1.13087803e-01 -3.75907838e-01  2.27849871e-01
  2.03880042e-01  1.92035586e-01 -4.86765027e-01  2.28789121e-01
 -6.86834216e-01 -2.22166508e-01  4.31485116e-01  5.71548566e-02
 -1.68729141e-01  7.58793876e-02  1.40536517e-01  5.75164914e-01
 -2.70284563e-01 -1.06170304e-01  6.76321760e-02 -3.54824543e-01
 -6.87454164e-01  5.56493551e-03 -2.67253637e-01 -2.55922765e-01
  5.06892622e-01  9.51750576e-03  2.74600327e-01  1.47698671e-02
 -3.14000666e-01  4.79176641e-01  1.39162047e-02 -2.11305946e-01
 -2.37082005e-01 -2.68270254e-01 -5.07812440e-01 -1.37935609e-01
  3.13627660e-01  3.36073451e-02 -1.20380521e-02  5.46873391e-01
  1.53099764e-02  5.71219683e-01 -5.80415130e-04  1.29495755e-01
  9.13417220e-01  4.71270680e-02  2.20337167e-01 -2.00434744e-01
  2.06007034e-01 -7.44261891e-02 -2.96390623e-01  1.74844563e-01
  1.36703134e-01 -8.70919764e-01  2.87304491e-01 -5.70876539e-01]",0.6696863,0.5694986,0.60254437,0.57028466,0.60802,0.6252197,0.631869
20,Castañeda Gómez Ana María,Cambio Radical,opposition,0,0,"[ 1.93656027e-01  3.09610665e-01  3.20267648e-01 -1.64135695e-01
  2.49142528e-01 -2.63617903e-01  7.98625797e-02  4.25765634e-01
 -2.63864398e-02 -3.47962938e-02  2.94290245e-01 -2.24035040e-01
  2.04726830e-01 -4.47090082e-02  4.28854376e-01 -2.31732562e-01
  2.23768041e-01 -1.17854796e-01  1.65129423e-01 -4.92281675e-01
 -4.69766498e-01  1.91376075e-01  2.23041847e-01 -7.11780339e-02
  5.56092858e-02 -3.82840961e-01 -1.74199775e-01 -5.61377585e-01
 -4.42728512e-02  1.23826385e-01 -1.81474522e-01 -3.96724731e-01
  1.23097241e-01  3.55469316e-01 -3.33786249e-01  4.77257133e-01
  5.76751232e-01 -2.29303792e-01  2.39802554e-01 -6.75208509e-01
  1.74007043e-01 -1.25536010e-01  3.00094578e-02  1.74862608e-01
  1.73018157e-01  6.15291111e-02 -4.69027430e-01 -2.46000979e-02
  4.72926289e-01  7.46088251e-02 -2.70330161e-01  1.80741504e-01
 -4.57825750e-01 -1.89271703e-01  2.32028756e-02  4.96660434e-02
 -2.58705914e-02  2.22247705e-01 -6.48777410e-02  7.14497387e-01
 -1.10683709e-01  1.94971487e-01  1.39693961e-01 -4.42167729e-01
 -4.08243269e-01 -1.87019035e-01 -7.39545047e-01 -2.30916664e-01
  2.74106830e-01 -1.22732081e-01 -6.25317276e-04 -1.81438491e-01
 -3.00880641e-01  6.72845304e-01 -6.15476184e-02 -4.62354064e-01
 -3.67862910e-01 -4.02915597e-01 -7.25489616e-01 -3.93732220e-01
  3.81350428e-01 -2.96847075e-02 -3.27968001e-01  6.86661243e-01
 -2.46668920e-01  1.00881052e+00  1.04882538e-01  1.22106306e-01
  8.49510908e-01 -6.66936561e-02  1.45338789e-01 -1.04937755e-01
  2.49497011e-01 -3.51558298e-01  1.25275552e-01  6.37214109e-02
  3.25963467e-01 -6.41392291e-01  2.32608002e-02 -6.95955992e-01]",0.6456007,0.53141487,0.5727721,0.53820705,0.5831274,0.6034048,0.6183964
21,Castellanos Serrano Jairo Alberto,Alianza Social Independiente,opposition,0,1,"[ 0.24614888  0.25534302  0.12526566 -0.24953695  0.3569047  -0.13601205
  0.26477054  0.4297047  -0.2225234  -0.24078523  0.17168191 -0.05983132
  0.16217166 -0.16634014  0.35938337 -0.19752671  0.0757259  -0.04417061
  0.24384624 -0.3734149  -0.17771229  0.1394225   0.34246796  0.20526376
  0.14090338 -0.5044729  -0.10975564 -0.49503642 -0.01738777  0.03290685
 -0.364005   -0.20478614  0.0758228   0.07430349 -0.16104424  0.40688956
  0.30008337 -0.1924184   0.1248618  -0.4696433   0.044891    0.05735979
 -0.10053529  0.05425139  0.16239172 -0.01702444 -0.38893902  0.02713428
  0.24542663  0.03276354 -0.37856475  0.16602542 -0.44922227 -0.2615512
  0.15057659 -0.07209156 -0.1448543   0.23407711  0.06405945  0.55999124
 -0.12187484 -0.00210591  0.08240864 -0.5468039  -0.5099184   0.01370814
 -0.4487196  -0.1922405   0.32228547 -0.22122896  0.06504831 -0.11262932
 -0.15441844  0.5871233  -0.11480966 -0.09209601 -0.26966467 -0.38902736
 -0.65686405 -0.23951608  0.28094983  0.0373985  -0.27579278  0.5563413
 -0.2020856   0.637418    0.21966258  0.19089547  0.6596279   0.05484946
  0.12322183 -0.1746796   0.13857916 -0.1846411   0.06833662  0.14623548
  0.15120348 -0.61629736  0.13753158 -0.5872885 ]",0.6787726,0.54881775,0.59452796,0.5561465,0.6047055,0.62574756,0.6433767
22,Cepeda Castro Iván,Polo Democrático Alternativo,government,0,1,"[ 0.2259684   0.07122437 -0.17354493 -0.06374045  0.09063622 -0.06625689
  0.25521013  0.26646742  0.14480375 -0.09529824  0.1700898  -0.00464405
  0.13242696 -0.00226222  0.20012574  0.3279357   0.15783624 -0.17612238
  0.3187956  -0.45668176 -0.06206479  0.28137887  0.17573182  0.43445468
 -0.12955584 -0.09736222  0.02697484 -0.24174662 -0.06735997  0.30800518
 -0.02872189 -0.37873697 -0.13823086  0.27369383 -0.25044653  0.04823769
  0.15619805  0.09195737  0.35640812 -0.16983886  0.05235932  0.03587447
  0.14046226 -0.01457031  0.18360436  0.29638264 -0.28892204 -0.01682421
  0.27698717  0.26568624 -0.32533273  0.13723655 -0.44752967 -0.14436181
  0.5225045   0.04461531 -0.09506184 -0.0415165  -0.00309131  0.30422106
 -0.15446426 -0.21199828  0.16361724 -0.3435882  -0.6347749  -0.12009954
 -0.3539354   0.00253003  0.44017792  0.04390762  0.16900994 -0.11494792
 -0.22506495  0.31284857 -0.03864845 -0.24808274 -0.24025132 -0.01417324
 -0.39791694 -0.05297244  0.3848014   0.04551512 -0.11834335  0.54695565
  0.15391369  0.17427118 -0.13711852  0.44094586  0.517314   -0.05079395
  0.01190549 -0.20512824  0.12246979  0.01106288 -0.11291558 -0.10006156
  0.21063493 -0.46692076  0.12896472 -0.4642752 ]",0.669641,0.60778785,0.61600876,0.59956825,0.6278586,0.638129,0.6343819
23,Cepeda Sarabia Efraín José,Partido Conservador,independent,0,1,"[ 0.22749281  0.10716262 -0.04058734 -0.15258639  0.13499415 -0.1788988
  0.23684949  0.30812538 -0.15843542 -0.1895721   0.35619617  0.1081133
  0.09949219  0.12075843  0.17555976  0.10670792  0.02525391 -0.23571934
  0.46353593 -0.35133833 -0.00783713  0.22120777  0.30359972  0.5065858
  0.1670884  -0.2657426   0.05263252 -0.22932315 -0.076276    0.32952812
 -0.22334467 -0.4448834  -0.16435835 -0.01544154 -0.1618184   0.30558234
  0.11306767 -0.08117618  0.3101102  -0.25760067 -0.09887631  0.09578004
 -0.15583119 -0.0857881   0.10152514  0.12262984 -0.3656303   0.16379702
  0.18735921  0.20113584 -0.4568805   0.19573532 -0.657269   -0.19796434
  0.45102245  0.01911897 -0.17271163  0.02860133  0.08706655  0.51964134
 -0.29015815 -0.1289205   0.09626906 -0.32576066 -0.6931086   0.02403978
 -0.24674773 -0.21291344  0.47219646  0.04005597  0.27556944  0.08808617
 -0.27945518  0.39129302  0.01128818 -0.19644281 -0.23881832 -0.18754464
 -0.4761626  -0.11743008  0.3309537   0.00401838  0.02062191  0.53215003
  0.01980787  0.48314643 -0.037024    0.19794679  0.841977    0.0941758
  0.20971964 -0.19942172  0.19843683 -0.05347376 -0.25351837  0.14292789
  0.08511284 -0.79163826  0.29101408 -0.4924792 ]",0.6769055,0.57610697,0.61209124,0.58156717,0.6156002,0.63300383,0.6398555
24,Chacón Camargo Alejandro Carlos,Partido Liberal,independent,0,1,"[ 3.09061170e-01  3.45561564e-01  5.89634813e-02 -2.34080195e-01
  3.82818252e-01 -2.18449637e-01  1.47052109e-01  2.66101629e-01
  1.34214833e-01 -2.43818611e-01  3.90925080e-01 -1.31661579e-01
  8.39713439e-02 -2.57665515e-01  3.15768719e-01 -3.56605873e-02
 -3.94466892e-02  2.62616962e-01  2.42061317e-02 -4.63900328e-01
 -2.83203721e-01 -4.60911877e-02  1.77098751e-01  1.22554600e-04
  8.30328465e-03 -7.26545632e-01 -1.83017552e-01 -5.95546722e-01
  1.99994240e-02 -1.66063428e-01 -8.37988183e-02 -1.19508184e-01
  1.87826127e-01  1.71775937e-01 -3.74141663e-01  4.63343263e-01
  5.41913927e-01 -8.71129036e-02  1.38934776e-01 -4.08167720e-01
 -1.34736449e-01  3.61804292e-02  6.81418553e-02 -1.30351037e-01
  1.15366042e-01 -1.64454997e-01 -7.15585947e-01  1.98971152e-01
  2.19625637e-01 -1.23648338e-01 -4.68655884e-01  1.45331591e-01
 -3.52259248e-01 -2.85430819e-01 -8.53575766e-03 -2.02208031e-02
 -1.15415707e-01  2.17063710e-01  1.51078761e-01  5.89485526e-01
 -2.91757286e-01 -1.09361429e-02 -3.00228074e-02 -5.31843781e-01
 -4.83573258e-01  9.03667361e-02 -6.36173725e-01 -4.01839226e-01
  1.87849879e-01 -3.44776094e-01  6.81091696e-02 -3.96265924e-01
 -4.11348231e-02  7.54080296e-01 -3.46284546e-02 -3.30515772e-01
 -2.31078401e-01 -6.88917696e-01 -7.37353027e-01 -4.96479571e-01
  1.45143986e-01 -3.06791030e-02 -2.74660766e-01  6.23102784e-01
 -1.89938530e-01  8.36643934e-01  3.66621971e-01 -7.03461915e-02
  8.99384856e-01  4.64650840e-02  3.53586167e-01  7.66042173e-02
  1.27902403e-01 -1.63659677e-01  7.91700333e-02  5.70792705e-02
  7.59191513e-02 -4.79770333e-01 -1.41991645e-01 -5.90944588e-01]",0.59983766,0.50705886,0.5408802,0.50604355,0.55007076,0.5706754,0.58330226
25,Chagui Flórez Julio Elías,Partido de la U,independent,0,1,"[-0.03568929  0.3906105  -0.13384083 -0.3128832   0.34646446 -0.09856042
  0.02664835  0.0889168   0.14727691  0.08568656  0.07131515 -0.08112034
  0.04816462 -0.14982481  0.13352218  0.03218057 -0.16084586 -0.14918005
  0.31788546 -0.11182589 -0.06568407  0.12196577  0.13020855  0.35060048
  0.0931025   0.0295611   0.03725841 -0.3589441   0.02244826  0.14652091
  0.04753385 -0.11740715 -0.24476734  0.11421121  0.01999837  0.1886998
  0.1480906  -0.04573654  0.18639375 -0.18004018  0.03659497  0.05859052
 -0.08607143 -0.05006531 -0.01490393 -0.10241371 -0.04572601  0.12654491
  0.14374281 -0.07765464 -0.26628023  0.00077153 -0.4095881  -0.1160626
  0.14605296  0.15135017 -0.11282538  0.01272154  0.17736013  0.13946201
 -0.03437483 -0.0654701   0.11266882 -0.33064196 -0.49892426 -0.0086489
 -0.2465063  -0.31814265  0.30151868  0.08338479  0.00905708 -0.12440834
 -0.17945026  0.48071066 -0.16654037 -0.03723484 -0.24292198 -0.35475203
 -0.5347812   0.09730725  0.10464356 -0.10977628 -0.09696405  0.31967175
  0.17594616  0.30393326 -0.00994881  0.08545064  0.6204233  -0.17247343
  0.25062287 -0.02741422  0.07221039 -0.06721164 -0.22400889 -0.04712227
  0.5197476  -0.52582824  0.06579899 -0.44882938]",0.67188954,0.66296434,0.63693833,0.6191279,0.66228235,0.653125,0.64480746
26,Correa Jiménez Antonio José ,Partido de la U,independent,0,1,"[ 0.18898353  0.22495022  0.02772748 -0.24964331  0.24749395 -0.33394894
  0.16028564  0.32567918 -0.20467415 -0.19793941  0.26237896 -0.01921765
  0.08987897 -0.03900879  0.2729219  -0.06002406  0.04217598 -0.09054597
  0.33247703 -0.33780786 -0.14476347  0.19883347  0.2392019   0.25873688
  0.08948573 -0.41001418 -0.09815048 -0.34062874  0.05726377  0.14274615
 -0.20243317 -0.34052795 -0.02394709  0.10450023 -0.23119843  0.4662227
  0.19179682 -0.11435916  0.18051356 -0.32365814 -0.01252095  0.16717193
 -0.10362622 -0.0211202   0.03269754  0.0739048  -0.42435437  0.11113508
  0.18934989  0.13923946 -0.4449908   0.21443453 -0.6085924  -0.3278375
  0.20167586 -0.03501948 -0.01291931  0.15638675  0.2027985   0.6218898
 -0.16065082  0.05075573 -0.00919466 -0.3412799  -0.5437895   0.02952949
 -0.3760422  -0.2880499   0.3612864  -0.05678857  0.19843937 -0.0958333
 -0.21030681  0.54884493 -0.02778316 -0.1718001  -0.2061998  -0.317345
 -0.53555334 -0.21596973  0.23951714  0.01338688 -0.21420477  0.47901696
 -0.11137167  0.66198826  0.01039653  0.09608847  0.9013759  -0.01791696
  0.22373915 -0.12474962  0.20210716 -0.08045383 -0.08418882  0.03983794
  0.2308538  -0.78957015  0.23417088 -0.6131734 ]",0.69826627,0.58711565,0.62292194,0.5894237,0.6315181,0.65049976,0.66116804
